,Titre,song_id,Artiste (features),Album,album_id,Date de sortie,Artiste,Lyrics
3,Interlude - The Trio,7176364,Lana Del Rey,Blue Banisters,749828,"{'year': 2021, 'month': 10, 'day': 22}",Lana Del Rey,
4,Black Bathing Suit,7178802,Lana Del Rey,Blue Banisters,749828,"{'year': 2021, 'month': 10, 'day': 22}",Lana Del Rey,"[Verse 1]
Grenadine quarantine, I like you a lot
It's LA, ""Hey"" on Zoom, Target parking lot
And if this is the end, I want a boyfriend
Someone to eat ice cream with and watch television
Or walk home from the mall with
'Cause what I really meant is when I'm being honest
I'm tired of this shit

[Pre-Chorus]
'Cause my body is my temple, my heart is one, too
The only thing that still fits me is this black bathing suit
You don't know me any better than they do, baby
My time is run over, so the only time you'll ever see me
Is in your dreams, in my black bathing suit
Lookin' at me lookin' over at you real cute 'cause

[Chorus]
He said I was bad, let me show you how bad girls do
'Cause no one does it better
He said I was bad, let me show you how bad girls do
'Cause no one does it better

[Verse 2]
Swisher Sweet, magazines, promise you it's not
'Cause of you that I'm mean, it's my afterthoughts
And what I never said, why there's a price on my head
It's nothing to do with them, it's my karmic lineage
So I'm not friends with my mother, but I still love my dad
Untraditional lover, can you handle that?
[Pre-Chorus]
I guess I'm complicated, my life's sorta, too
I wish you could see to my soul through this black bathing suit
You don't know me any better than they do, baby
'Cause I sing like an angel, my heart's like one, too
The only thing that fits is this black bathing suit
Lookin' at me lookin' over at you real cute 'cause

[Chorus]
He said I was bad, let me show you how bad girls do
'Cause no one does it better
He said I was bad, let me show you how bad girls do
'Cause no one does it better
They said I was bad and I'll show them what bad girls do

[Outro]
My black bathing suit
(Oh, let 'em talk about me)
They're just yesterday's news
(They're fucking broke and we're laughin' about them)
Mail me when you get the blues
(We'll have the last laugh about it)
By the way, thanks for the shoes
Your interest really made stacks
Your interest really made stacks
Your interest really made stacks out of it
Your interest really made stacks out of it for me (So, thanks for that)
Your interest really made stacks out of it for me (So, thanks for that)
Your interest really made stacks out of it for me
So thanks for that17EmbedShare URLCopyEmbedCopy"
5,If You Lie Down with Me,7178811,Lana Del Rey,Blue Banisters,749828,"{'year': 2021, 'month': 10, 'day': 22}",Lana Del Rey,"[Verse 1]
Put your red boots on, baby, giddy up
Baby wants to dance, baby gets her way
Treat me nice, talk to me with that whiskey breath
Twirl me twice, I'll treat you like a holiday

[Pre-Chorus]
And don't say you're over me
When we both know that you ain't
Don't say you're over me
Babe, it's already too late
Just do what you do best with me

[Chorus]
Dance me all around the room
Spin me like a ballerina, super high
Dance me all around the moon
Light me up like the Fourth of July
Once, twice, three times the guy I
Ever thought I would meet, so
Don't say you're over me
When we both know that you lie

[Post-Chorus]
If you lie down, lie next to me
Lie, lie, lie, lie, lie, lie, lie, lie, lie
If you lie down, lie next to me
Lie, lie, lie, lie, lie, lie, lie, lie, lie
When you lie down, lie next to me
[Verse 2]
Get your jacket on, be a gentleman
Get into your truck and pick me up at eight
'Cause we were built for the long-haul freight train
Burnt by fire without trial like a stowaway

[Pre-Chorus]
And don't say you're over me
When they all know that you ain't
If you lay down, lie next to me

[Chorus]
Dance me all around the room
Spin me like a ballerina, super high
Dance me all around the moon
Like, six times 'til I'm sick and I cry
Once, twice, three times the guy I
Ever thought I would meet, so
Don't say you're over me
When they all know that you're lying

[Post-Chorus]
If you lie down, lie next to me
Lie, lie, lie, lie, lie, lie, lie, lie, lie
You lie, you lie
If you lie down, lie next to me
Lie, lie, lie, lie, lie, lie, lie, lie, lie
You lie, you lie
When you lie down, lie next to me
[Instrumental Outro]28EmbedShare URLCopyEmbedCopy"
6,Beautiful,7178814,Lana Del Rey,Blue Banisters,749828,"{'year': 2021, 'month': 10, 'day': 22}",Lana Del Rey,"[Verse 1]
Let's keep it simple, babe
Don't make it complicated
Don't tell me to be glad when I'm sad
I really hate that
I try not to be bad
He's interested, he's holding me back
If I could be more like you, I would
But I can't and I'm glad about that

[Pre-Chorus]
What if someone had asked Picasso not to be sad?
Never known who he was or the man he'd become
There would be no blue period
Let me run with the wolves, let me do what I do
Let me show you how sadness can turn into happiness
I can turn blue into something

[Chorus]
Beautiful, beautiful
Beautiful like you
Beautiful, beautiful
Beautiful like you

[Verse 2]
Let's keep it simple, babe
We can't afford to change it
Don't turn me into something I'm not
There's no way to sustain it
I try not to hold back
It seems, either way, it makes you mad
So I'll be who I'll be, if you think that that's cool
Then I'll take you back
[Pre-Chorus]
What if someone had asked Picasso not to be sad?
Never known who he was or the man he'd become
There would be no blue period
Let me run with the wolves, let me do what I do
Let me show you how sadness can turn into happiness
I can turn blue into something

[Chorus]
Beautiful, beautiful
Beautiful like you
Beautiful, beautiful
Beautiful like you

[Chorus]
Beautiful, beautiful
Beautiful like you
Beautiful, beautiful
Beautiful like you14EmbedShare URLCopyEmbedCopy"
7,Violets for Roses,7178818,Lana Del Rey,Blue Banisters,749828,"{'year': 2021, 'month': 10, 'day': 22}",Lana Del Rey,"[Verse 1]
There's something in the air
The girls are runnin' 'round in summer dresses
With their masks off and it makes me so happy
Larchmont Village smells like lilies of the valley
And the bookstore doors are opening
And it's finally happening

[Pre-Chorus]
Ever since I fell out of love with you, I fell back in love with me
And, boy, does it feel sweet
Like a summer breeze
Ever since I fell out of love with you, I fell back in love with the city
Like thе Paramount sign sparkling
Sparkling just for me

[Chorus]
You made me tradе my violets for roses
You tried to trade in my new truck for Rollses
Don't forget all of these things that you love are the same things I hate
A simple life, I chose this
You made me trade my violets for roses
You tried to take all the pink off my toes, and
God knows the only mistake that a man can make
Is tryna make a woman change and trade her violets for roses
[Post-Chorus]
Ah-la-ha, ah-ha
Trade her violets for roses
Ah-la-ha, ah-ha

[Verse 2]
There's something in the air
I hope it doesn't change, that it's for real
The beginning of something big happening
And by the Merthys Alleys
In the streets have ceased
And still, the shadows haunt the avenue
The silence is deafening

[Pre-Chorus]
Ever since I fell out of love with you, I fell back in love with the streets
And, God, does it feel sweet
Like a summer breeze
Ever since I fell out of love with you, I breakdance to the backbeat
And, God, does it sound sweet
Like it's playing just for me

[Chorus]
You made me trade my violets for roses
You tried to trade in my new truck for Rollses
Don't forget all of these things that you love are the same things I hate
A simple life, I chose this
You made me trade my violets for roses
You tried to take all the pink off my toes, and
God knows the only mistake that a man can make
Is tryin' to make a woman change and trade her violets for roses
[Post-Chorus]
Ah-la-ha, ah-ha
Trade her violets for roses
Ah-la-ha, ah-ha
Trade her violets for roses
(Ah-la-ha, ah-ha)

[Outro]
There's something in the air
The girls are runnin' 'round in summer dresses
With their masks off and it makes me so happy13EmbedShare URLCopyEmbedCopy"
8,Dealer,5936464,Lana Del Rey (Ft. Miles Kane),Blue Banisters,749828,"{'year': 2021, 'month': 10, 'day': 22}",Lana Del Rey,"[Verse 1: Miles Kane]
Please don't try to find me through my dealer
He won't pick up his phone
Please don't try my father either
He ain't been home for years
I know I'm no spirit-seeker
I can't sleep through the tears
I get lost in the ether

[Chorus: Lana Del Rey, Lana Del Rey & Miles Kane]
I check in, I wreck it, I turn it around
I gave you all my money, gave you all my money
Gave you all my money, gave you all my money
I don't wanna live
I don't wanna give you nothing
'Cause you never give me nothing back
Why can't you be good for something?
Not one shirt off your back
Why can't you be good for something?
Not one shirt off your back

[Verse 2: Miles Kane]
Please don't try to find me through my dealer
He won't pick up his phone
Please don't try my doctor either
He won't take any calls
He's no fucking spirit healer
He just can't stop to talk
But he's gone now for the weekend
[Chorus: Lana Del Rey]
I check in, I wreck it, and I'll explain
I gave you all my money, gave you all my money
Gave you all my money, gave you all my money
I don't wanna live
I don't wanna give you nothing
'Cause you never give me nothing back
Why can't you be good for something?
Not one shirt off your back
Why can't you be good for something?
Not one shirt off your back

[Outro: Miles Kane & Lana Del Rey]
555
Please don't try to find me through my dealer (9275, 555)
He won't pick up his phone (Now you've got a busy tone)
All circuits are busy, goodbye
All circuits are busy, you're high
Please don't try my father either (All circuits are busy, goodbye)
He ain't been home for years (All circuits are busy, you're high)50EmbedShare URLCopyEmbedCopy"
9,Thunder,5673378,Lana Del Rey,Blue Banisters,749828,"{'year': 2021, 'month': 10, 'day': 22}",Lana Del Rey,"[Verse 1]
You roll like thunder when you come crashin' in
Town ain't been the same since you left with all your friends
You roll like thunder when you come crashing in
Regattas in the wind, that's why you're visiting

[Pre-Chorus]
You act like fucking Mr. Brightside when you're with all your friends
But I know what you're like when the party ends

[Chorus]
Just do it
Just do it, don't wait
Just do it
Just do it, don't wait

[Verse 2]
You roll like thunder, pourin' all your drinks
The party's lit and you, my friend, half-cut when it begins
You roll like thunder, you're tryna catch that wind
That lightning in the bottle, that moonbeam in your hand

[Pre-Chorus]
And you try to see the bright side when each new day begins
But you're not satisfied at the rainbow's end
[Chorus]
Just do it
Just do it, don't wait
I don't wanna wait
Just do it
Just do it, don't wait

[Bridge]
'Cause if you're on fire, you're on fire (Just do it)
Just keep burnin', 'til rain (Just do it, don't wait)
Baby, keep me ablaze
Honey, if you're on fire, you're on fire (Just do it)
Just keep burning, keep me alive (Just do it, don't wait)
Spare your blade

[Chorus]
Just do it
Just do it, don't wait
If hello just means goodbye then, honey, better walk away
Just do it
Just do it, don't wait
If hello just means goodbye then, baby, better walk away
Just do it
Just do it, don't wait
'Cause I don't wanna wait
Just do it
Just do it, don't wait
[Outro]
(Just do it)
(Just do it, don't wait)
If you're on fire, you're on fire
You should just keep burning (Just do it)
(Just do it, don't wait)
(Just do it)
(Just do it, don't wait)22EmbedShare URLCopyEmbedCopy"
10,Wildflower Wildfire,6825258,Lana Del Rey,Blue Banisters,749828,"{'year': 2021, 'month': 10, 'day': 22}",Lana Del Rey,"[Verse 1]
Here's the deal
’Cause I know you wanna talk about it
Here's the deal
I promise you, like, a million tomorrows
Here's the deal
What I can promise is I’ll lie down
Like a bed of wildflowers
And I'll always make the sheets
Smell like gardenias wild at your feet
And I nourish you hazily

[Pre-Chorus]
Baby, I, I, I, I've been runnin' on stardust
Alone for so long
I wouldn't know what hot fire was
Hot fire, hot weather, hot coffee
I'm better with you
It's strange, but it's true, darling

[Chorus]
Not to turn into a wildfire
To light up your night
With only my smile and nothing that burns
Baby, I’ll be like a wildflower
I live on sheer willpower
I’ll do my best never to turn into something
That burns, burns, burns
Like the others, baby, burns, burns, burns
[Verse 2]
Here's the deal
’Cause I know you wanna talk about it
Here's the deal
You say there's gaps to fill in, so here
Here's the deal
My father never stepped in when his wife would rage at me
So I ended up awkward but sweet
Later then hospitals, stand still on my feet
Comfortably numb, but with lithium came poetry

[Pre-Chorus]
And baby, I, I’ve been running on star drip
IV's for so long
I wouldn't know how cruel the world was
Hot fire, hot weather, hot coffee, I'm better
So I turn, but I learn (It from you, babe)

[Chorus]
Not to turn into a wildfire
To light up your night
With only my smile and nothing that hurts
Baby, I run like a wildflower
I live on sheer willpower
I promise that nothing will burn you
Nothing will burn, burn, burn
Like the others, baby, burns, burns, burns
Burn, burn, burn (Like the others, baby)
Like the others, baby, burns, burns, burns
[Outro]
It's you from whom I learn, learn, learn
It's you from whom I learn, learn, learn45EmbedShare URLCopyEmbedCopy"
11,Nectar of the Gods,4520510,Lana Del Rey,Blue Banisters,749828,"{'year': 2021, 'month': 10, 'day': 22}",Lana Del Rey,"[Intro]
Ooh-ooh-ooh
Ooh-ooh-ooh

[Verse 1]
What cruel world is this? Nectar of the Gods
Heroin gold in my veins and you in my thoughts
I'm on the freeway racing at a million and I just can’t stop
I call you up twice, hang up the phone, call again, I wanna talk

[Chorus]
I get wild on you, baby
I get wild and fuckin' crazy like you never knew, knew, knew
I get wild on you, baby
I get wild and fuckin' crazy like the color blue, ooh-ooh

[Verse 2]
What sweet world is this? Honey on the vine
School kid dreams came true, then passed in the night
I used to dream about people like you, now I don’t know why
I used to sing about people like you, now I just get high

[Chorus]
I get wild on you, baby
I get wild and fuckin' crazy like you never knew, knew, knew
I get wild on you, baby
I get wild and fuckin' crazy like the color blue, ooh-ooh
[Bridge]
Ooh-ooh-ooh
Ooh-ooh-ooh
Ooh-ooh-ooh
Ooh-ooh-ooh
Ooh-ooh-ooh

[Chorus]
I get wild on you, baby
I get wild and fuckin' crazy like you never knew, ooh, ooh
I get wild on you, baby
I get wild and fuckin' crazy like the color blue, ooh-ooh

[Outro]
Californ-I-A, homeland of the Gods
Once I found my way, but now I am lost12EmbedShare URLCopyEmbedCopy"
12,Living Legend,5312737,Lana Del Rey,Blue Banisters,749828,"{'year': 2021, 'month': 10, 'day': 22}",Lana Del Rey,"[Intro]
Hmm, oh-oh

[Verse 1]
Blackbirds will sing in the same key
As you play in the shoes that I bought you
And sweet baby Jane don't know a thing
About my songs, but she knows I'm a monsoon

[Chorus]
And, baby, you, all the things you do
And the ways you move, send me straight to Heaven
And, baby, you, what you never knew
What I never said is you're my living legend

[Verse 2]
Hipsters will sing just like a dream
In Sin-é or the back Brooklyn bayou
But you never cared about my name
And, darling, I never meant to defy you

[Chorus]
But baby, you, all them things you do
And those ways you moved, send me straight to Heaven
And baby you, I never said to you
You really are my living legend
[Bridge]
I got guns in the summertime and horses, too
Guns in the summertime and horses, too
I never meant to be bad or unwell
I was just living on the edge
Right between Heaven and Hell
And I'm tired of it

[Chorus]
Oh, all the things you do
And the ways you move, send me straight to Heaven
And, baby, you, what I never said to you
'Cause you really are my living legend

[Instrumental Break]

[Outro]
My living legend
My living legend
My living legend
My living legend12EmbedShare URLCopyEmbedCopy"
13,Cherry Blossom,2597739,Lana Del Rey,Blue Banisters,749828,"{'year': 2021, 'month': 10, 'day': 22}",Lana Del Rey,"[Verse 1]
What you don't tell no one, you can tell me
Little ghost, tall, tan like milk and honey
You're very brave
And very free

[Chorus]
I push you high, cherry blossom on your sycamore tree
What you don't tell no one, you can tell me

[Verse 2]
Swing it high like Jesus, wild and free
Dandelions in your hair, baby
You're very brave
And there's much to see

[Chorus]
I push you high, cherry blossom on your sycamore tree
What you don't tell no one, you can tell me

[Bridge]
And when you're scared, I'll be right here
You feel afraid, Mommy is there
It's a cruel, cruel world, but we don't care
'Cause what we've got, we've got to share
[Verse 3]
What you don't tell no one, you can tell me
Little ghost, blonde hair with lemonade tea
There's much to learn
And so much to see

[Chorus]
I push you high, Angelina, on your sycamore tree
What you don't tell no one, you can tell me18EmbedShare URLCopyEmbedCopy"
14,Sweet Carolina,7178819,Lana Del Rey,Blue Banisters,749828,"{'year': 2021, 'month': 10, 'day': 22}",Lana Del Rey,"[Intro]
Okay

[Verse 1]
Don't have to write me a letter
'Cause I'll always be right here
Closer to you than your next breath, my dear

[Pre-Chorus]
We love every hair on your head
Love you like God loves you
And you say that you're scared
Might be unprepared for havin' the baby blues

[Chorus]
Baby blues, baby blues
If things ever go wrong
Just know this is your song and we love you

[Verse 2]
You name your babe Lilac Heaven
After your iPhone 11
""Crypto forever,"" scrеams your stupid boyfriend
Fuck you, Kevin

[Pre-Chorus]
We lovе every freckle you have
We love you like God loves you
If you're ever stressed out, just dance in the night
If you get those baby blues
[Chorus]
Baby blues, baby blues
If things ever go wrong
Just know this is your song and we love you

[Bridge]
Pink slippers all on the floor, woven nets over the door
It's as close as we'll get to the dream that they had
In the one night sixties, and
Jason is out in the lawn
And he power-washes every time things go wrong
If you're stressed out, just know you can dance to your song
'Cause we got you

[Chorus]
If you get the blues, baby blues
Just know this is your song
It'll live on and on, way past me and you
If you get the blues, baby blues
You've got us, we've got you
So there's nothing to lose, and we love you

[Outro]
So don't write me a letter
I'll always be right here
Closer to you than your next breath, my dear11EmbedShare URLCopyEmbedCopy"
